アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
グリーフケア　　　　　　　　　　　　　　ぐりーふけあ　　　　　　　　　　　　　　,N 1.     ,悲嘆から立ち直り支援
グリーンインフラ　　　　　　　　　　　　ぐりーんいんふら　　　　　　　　　　　　,N 1.     ,Ｇｒｅｅｎ　Ｉｎｆｒａｓｔｒｕｃｔｕｒｅ
グリーンウオッシュ　　　　　　　　　　　ぐりーんうおっしゅ　　　　　　　　　　　,N 1.     ,環境配慮をしているように装いごまかすこと
グリーントランスフォーメーション　　　　ぐりーんとらんすふぉーめーしょん　　　　,N 1.     ,クリーンエネルギー中心の構造に転換
クリオネ　　　　　　　　　　　　　　　　くりおね　　　　　　　　　　　　　　　　,N 1.     ,
グリシン　　　　　　　　　　　　　　　　ぐりしん　　　　　　　　　　　　　　　　,N 1.     ,神経ネットワークの情報のやりとりにも関わるアミノ酸
クリスパーキャス９　　　　　　　　　　　くりすぱーきゃすないん　　　　　　　　　,N B.     ,遺伝子改変ツール
ＣＲＩＳＰＲ－Ｃａｓ９　　　　　　　　　くりすぱーきゃすないん　　　　　　　　　,N B.     ,遺伝子改変ツール
グリセロース　　　　　　　　　　　　　　ぐりせろーす　　　　　　　　　　　　　　,N B.     ,Ｇｌｙｃｅｒｏｓｅ一般的にグリセリンとも呼ばれる三価のアルコール
グリッドコンピューティング　　　　　　　ぐりっどこんぴゅーてぃんぐ　　　　　　　,N 1.     ,ｇｒｉｄ　ｃｏｍｐｕｔｉｎｇ広域のネットワーク上にある計算資源を結びつけ
クリティカル　　　　　　　　　　　　　　くりてぃかる　　　　　　　　　　　　　　,N 1.     ,危機的な
クリぼっち　　　　　　　　　　　　　　　くりぼっち　　　　　　　　　　　　　　　,N 1.  N  ,クリスマスをひとりぼっちで過ごすこと
グルーオン　　　　　　　　　　　　　　　ぐるーおん　　　　　　　　　　　　　　　,N 1.     ,
グルコース　　　　　　　　　　　　　　　ぐるこーす　　　　　　　　　　　　　　　,N B.     ,Ｌ－Ｇｌｕｃｏｓｅ
グルコサミン　　　　　　　　　　　　　　ぐるこさみん　　　　　　　　　　　　　　,N B.     ,アミノ糖の一つ
クレイメーション　　　　　　　　　　　　くれいめーしょん　　　　　　　　　　　　,N 1.     ,粘土細工
ｃｌａｙｍａｔｉｏｎ　　　　　　　　　　くれいめーしょん　　　　　　　　　　　　,N 1.     ,粘土細工
グレービーボート　　　　　　　　　　　　ぐれーびーぼーと　　　　　　　　　　　　,N B.     ,ｇｒａｖｙ　ｂｏａｔカレーなどを入れる容器
クレジット　　　　　　　　　　　　　　　くれじっと　　　　　　　　　　　　　　　,N 1.     ,現金を使わないキャッシュレス決済
グローバル・サウス　　　　　　　　　　　ぐろーばる・さうす　　　　　　　　　　　,N 5.     ,新興国
グローバル・ポジショニング・システム　　ぐろーばる・ぽじしょにんぐ・しすてむ　　,N 1.     ,
クローン　　　　　　　　　　　　　　　　くろーん　　　　　　　　　　　　　　　　,N B.     ,複製,ｃｌｏｎｅ
クローン生物　　　　　　　　　　　　　　くろーんせいぶつ　　　　　　　　　　　　,N 4.     ,
黒毛和牛　　　　　　　　　　　　　　　　くろげわきゅう　　　　　　　　　　　　　,N B.     ,
クロスモーダル　　　　　　　　　　　　　くろすもーだる　　　　　　　　　　　　　,N 1.     ,Ｃｒｏｓｓｍｏｄａｌ人間の感覚に五感が相互に作用し合う現象
黒米　　　　　　　　　　　　　　　　　　くろまい　　　　　　　　　　　　　　　　,N B.     ,
軍艦島　　　　　　　　　　　　　　　　　ぐんかんじま　　　　　　　　　　　　　　,N 7.     ,
群淘汰　　　　　　　　　　　　　　　　　ぐんとうた　　　　　　　　　　　　　　　,N 1.     ,
ケアサービス　　　　　　　　　　　　　　けあさーびす　　　　　　　　　　　　　　,N 1.     ,
ケアテック　　　　　　　　　　　　　　　けあてっく　　　　　　　　　　　　　　　,N 1.     ,介護技術
ケアマネージャー　　　　　　　　　　　　けあまねーじゃー　　　　　　　　　　　　,N 4.     ,
芸　　　　　　　　　　　　　　　　　　　げい　　　　　　　　　　　　　　　　　　,N 1.     ,
敬愛の念　　　　　　　　　　　　　　　　けいあいのねん　　　　　　　　　　　　　,N 1.  P  ,
系外惑星　　　　　　　　　　　　　　　　けいがいわくせい　　　　　　　　　　　　,N 1.     ,太陽系外惑星
経済連携協定　　　　　　　　　　　　　　けいざいれんけいきょうてい　　　　　　　,N 1.     ,ＥＰＡ
計算化学　　　　　　　　　　　　　　　　けいさんかがく　　　　　　　　　　　　　,N 1.     ,ｃｏｍｐｕｔａｔｉｏｎａｌ　ｃｈｅｍｉｓｔｒｙ
形状記憶合金　　　　　　　　　　　　　　けいじょうきおくごうきん　　　　　　　　,N B.     ,
経頭蓋直流刺激　　　　　　　　　　　　　けいとうがいちょくりゅうしげき　　　　　,N 1.     ,ｔＤＣＳ
経頭蓋直流電気刺激　　　　　　　　　　　けいとうがいちょくりゅうでんきしげき　　,N 1.     ,ｔＤＣＳ
系統樹　　　　　　　　　　　　　　　　　けいとうじゅ　　　　　　　　　　　　　　,N 1.     ,ｐｈｙｌｏｇｅｎｅｔｉｃ　ｔｒｅｅ
ケージフリー　　　　　　　　　　　　　　けーじふりー　　　　　　　　　　　　　　,N 1.  P  ,平飼い
ケースワーカー　　　　　　　　　　　　　けーすわーかー　　　　　　　　　　　　　,N 4.     ,社会福祉主事
ゲーセン　　　　　　　　　　　　　　　　げーせん　　　　　　　　　　　　　　　　,N 5.     ,ゲームセンター
ケータイ　　　　　　　　　　　　　　　　けーたい　　　　　　　　　　　　　　　　,N B.     ,
ケータリング　　　　　　　　　　　　　　けーたりんぐ　　　　　　　　　　　　　　,N 1.     ,ｃａｔｅｒｉｎｇ出向いて食事を配膳、提供するサービス業
ゲートキーパー　　　　　　　　　　　　　げーときーぱー　　　　　　　　　　　　　,N 1.     ,Ｇａｔｅｋｅｅｐｅｒ自殺対策
ゲオ　　　　　　　　　　　　　　　　　　げお　　　　　　　　　　　　　　　　　　,N 5.     ,メディアショップ
毛製品　　　　　　　　　　　　　　　　　けせいひん　　　　　　　　　　　　　　　,N B.     ,
血液脳関門　　　　　　　　　　　　　　　けつえきのうかんもん　　　　　　　　　　,N B.     ,
血管新生　　　　　　　　　　　　　　　　けっかんしんせい　　　　　　　　　　　　,N 1.     ,Ａｎｇｉｏｇｅｎｅｓｉｓ
血管内皮細胞増殖因子　　　　　　　　　　けっかんないひしさいぼうぞうしょくいんし,N B.     ,ＶＥＧＦ
結晶スポンジ　　　　　　　　　　　　　　けっしょうすぽんじ　　　　　　　　　　　,N B.     ,
血小板　　　　　　　　　　　　　　　　　けっしょうばん　　　　　　　　　　　　　,N B.     ,Ｐｌａｔｅｌｅｔ
血中極小物質　　　　　　　　　　　　　　けっちゅうごくしょうぶっしつ　　　　　　,N B.     ,
血糖値　　　　　　　　　　　　　　　　　けっとうち　　　　　　　　　　　　　　　,N 1.     ,
ゲノム医療　　　　　　　　　　　　　　　げのむいりょう　　　　　　　　　　　　　,N 1.     ,
ゲノムインプリンティング　　　　　　　　げのむいんぷりんてぃんぐ　　　　　　　　,N 1.     ,ごく一部の遺伝子は、父親由来、母親由来のどちらか決まった一方しか発現しません
ゲノム解析　　　　　　　　　　　　　　　げのむかいせき　　　　　　　　　　　　　,N 1.     ,Ｇｅｎｏｍｅ　ａｎａｌｙｓｉｓ
ゲノム編集　　　　　　　　　　　　　　　げのむへんしゅう　　　　　　　　　　　　,N 1.     ,
ゲリラ豪雨　　　　　　　　　　　　　　　げりらごうう　　　　　　　　　　　　　　,N 1.  N  ,
減塩する　　　　　　　　　　　　　　　　げんえんする　　　　　　　　　　　　　　,D 4.  P  ,
県央　　　　　　　　　　　　　　　　　　けんおう　　　　　　　　　　　　　　　　,N 1.     ,
嫌悪の念　　　　　　　　　　　　　　　　けんおのねん　　　　　　　　　　　　　　,N 1.  N  ,
嫌気呼吸　　　　　　　　　　　　　　　　けんきこきゅう　　　　　　　　　　　　　,N 1.     ,
言語聴覚士　　　　　　　　　　　　　　　げんごちょうかくし　　　　　　　　　　　,N 4.     ,
原子時計　　　　　　　　　　　　　　　　げんしどけい　　　　　　　　　　　　　　,N B.     ,
県南　　　　　　　　　　　　　　　　　　けんなん　　　　　　　　　　　　　　　　,N 7.     ,
原爆ドーム　　　　　　　　　　　　　　　げんばくどーむ　　　　　　　　　　　　　,N 7.     ,
見聞録　　　　　　　　　　　　　　　　　けんぶんろく　　　　　　　　　　　　　　,N 1.     ,
県北　　　　　　　　　　　　　　　　　　けんほく　　　　　　　　　　　　　　　　,N 7.     ,
コアストーン　　　　　　　　　　　　　　こあすとーん　　　　　　　　　　　　　　,N B.     ,ｃｏｒｅ　ｓｔｏｎｅ
高温超伝導　　　　　　　　　　　　　　　こうおんちょうでんどう　　　　　　　　　,N 1.  P  ,
蝗害　　　　　　　　　　　　　　　　　　こうがい　　　　　　　　　　　　　　　　,N 1.     ,
光学迷彩　　　　　　　　　　　　　　　　こうがくめいさい　　　　　　　　　　　　,N 1.     ,ｏｐｔｉｃａｌ　ｃａｍｏｕｆｌａｇｅ
広義語　　　　　　　　　　　　　　　　　こうぎご　　　　　　　　　　　　　　　　,N 1.     ,ｂｒｏａｄ　ｔｅｒｍ
口腔細菌　　　　　　　　　　　　　　　　こうくうさいきん　　　　　　　　　　　　,N B.     ,
膠原病　　　　　　　　　　　　　　　　　こうげんびょう　　　　　　　　　　　　　,N 1.  N  ,
高高介護　　　　　　　　　　　　　　　　こうこうかいご　　　　　　　　　　　　　,N 1.  N  ,
格子暗号　　　　　　　　　　　　　　　　こうしあんごう　　　　　　　　　　　　　,N 1.     ,
格子細胞　　　　　　　　　　　　　　　　こうしさいぼう　　　　　　　　　　　　　,N 1.     ,Ｇｒｉｄ　ｃｅｌｌ
更新世　　　　　　　　　　　　　　　　　こうしんせい　　　　　　　　　　　　　　,N 8.     ,
合成生物学　　　　　　　　　　　　　　　ごうせいせいぶつがく　　　　　　　　　　,N 1.     ,ｓｙｎｔｈｅｔｉｃ　ｂｉｏｌｏｇｙ
高精度測位社会　　　　　　　　　　　　　こうせいどそくいしゃかい　　　　　　　　,N 5.     ,
構造色　　　　　　　　　　　　　　　　　こうぞうしょく　　　　　　　　　　　　　,N B.     ,ｓｔｒｕｃｔｕｒａｌ　ｃｏｌｏｒ
膠着語　　　　　　　　　　　　　　　　　こうちゃくご　　　　　　　　　　　　　　,N 1.     ,agglutinative language
口内フローラ　　　　　　　　　　　　　　こうないふろーら　　　　　　　　　　　　,N B.     ,口内の細菌がバランスよく保たれた環境ｉｎｔｅｓｔｉｎａｌ　ｆｌｏｒａ
こうのとり　　　　　　　　　　　　　　　こうのとり　　　　　　　　　　　　　　　,N 4.     ,
後発医薬品　　　　　　　　　　　　　　　こうはついやくひん　　　　　　　　　　　,N B.     ,ｇｅｎｅｒｉｃ　ｄｒｕｇ
甲板員　　　　　　　　　　　　　　　　　こうはんいん　　　　　　　　　　　　　　,N 4.     ,
高プロ　　　　　　　　　　　　　　　　　こうぷろ　　　　　　　　　　　　　　　　,N 1.     ,高度プロフェッショナル制度
構文解析　　　　　　　　　　　　　　　　こうぶんかいせき　　　　　　　　　　　　,N 1.     ,
香味　　　　　　　　　　　　　　　　　　こうみ　　　　　　　　　　　　　　　　　,N B.     ,フレーバー
香料　　　　　　　　　　　　　　　　　　こうりょう　　　　　　　　　　　　　　　,N B.     ,フレグランス
高齢者　　　　　　　　　　　　　　　　　こうれいしゃ　　　　　　　　　　　　　　,N 4.     ,
コエンザイムＱ１０　　　　　　　　　　　こえんざいむきゅうてん　　　　　　　　　,N B.  P  ,サプリメント
誤嚥する　　　　　　　　　　　　　　　　ごえんする　　　　　　　　　　　　　　　,D 4.     ,
コーディアル　　　　　　　　　　　　　　こーでぃある　　　　　　　　　　　　　　,N B.     ,飲み物
コーヒーフレッシュ　　　　　　　　　　　こーひーふれっしゅ　　　　　　　　　　　,N 1.  P  ,
コーヒー豆　　　　　　　　　　　　　　　こーひーまめ　　　　　　　　　　　　　　,N B.     ,
コーピング　　　　　　　　　　　　　　　こーぴんぐ　　　　　　　　　　　　　　　,N 1.     ,copingストレス耐性を予見
コーポレートガバナンス　　　　　　　　　こーぽれーとがばなんす　　　　　　　　　,N 1.     ,
凍り付くような　　　　　　　　　　　　　こおりつくような　　　　　　　　　　　　,R  .  N  ,
コーンスターチ　　　　　　　　　　　　　こーんすたーち　　　　　　　　　　　　　,N B.     ,
五箇山　　　　　　　　　　　　　　　　　ごかやま　　　　　　　　　　　　　　　　,N 7.     ,
酷暑日　　　　　　　　　　　　　　　　　こくしょび　　　　　　　　　　　　　　　,N 8.  N  ,
国蝶　　　　　　　　　　　　　　　　　　こくちょう　　　　　　　　　　　　　　　,N B.     ,
コグニティブ　　　　　　　　　　　　　　こぐにてぃぶ　　　　　　　　　　　　　　,N 1.     ,Ｃｏｇｎｉｔｉｖｅ「認識」「認知」
コグニティブ・コンピューティング　　　　こぐにてぃぶ・こんぴゅーてぃんぐ　　　　,N 1.     ,知覚情報に対して知的処理を施し、行動に変える
ＣＯＣＯＡ　　　　　　　　　　　　　　　ここあ　　　　　　　　　　　　　　　　　,N 1.     ,接触確認アプリ
古細菌　　　　　　　　　　　　　　　　　こさいきん　　　　　　　　　　　　　　　,N B.     ,ａｒｃｈａｅａ
ご祝儀　　　　　　　　　　　　　　　　　ごしゅうぎ　　　　　　　　　　　　　　　,N 1.     ,
個人情報　　　　　　　　　　　　　　　　こじんじょうほう　　　　　　　　　　　　,N 1.     ,Ｐｅｒｓｏｎａｌｌｙ　ｉｄｅｎｔｉｆｉａｂｌｅ　ｉｎｆｏｒｍａｔｉｏｎ　（ＰＩＩ）
コスパ　　　　　　　　　　　　　　　　　こすぱ　　　　　　　　　　　　　　　　　,N 1.     ,コストパフォーマンス
コスプレ　　　　　　　　　　　　　　　　こすぷれ　　　　　　　　　　　　　　　　,N 1.     ,扮装衣装
コスメ　　　　　　　　　　　　　　　　　こすめ　　　　　　　　　　　　　　　　　,N 1.     ,コスメチックス
コスモロジー　　　　　　　　　　　　　　こすもろじー　　　　　　　　　　　　　　,N 1.     ,宇宙論
古代米　　　　　　　　　　　　　　　　　こだいまい　　　　　　　　　　　　　　　,N B.     ,
こたつむり　　　　　　　　　　　　　　　こたつむり　　　　　　　　　　　　　　　,N 1.  N  ,
ごち　　　　　　　　　　　　　　　　　　ごち　　　　　　　　　　　　　　　　　　,N 1.     ,
コチュジャン　　　　　　　　　　　　　　こちゅじゃん　　　　　　　　　　　　　　,N B.     ,
骨芽細胞　　　　　　　　　　　　　　　　こつがさいぼう　　　　　　　　　　　　　,N B.     ,
ご都合主義　　　　　　　　　　　　　　　ごつごうしゅぎ　　　　　　　　　　　　　,N 1.  N  ,
骨伝導　　　　　　　　　　　　　　　　　こつでんどう　　　　　　　　　　　　　　,N 1.     ,
こっぱみじん　　　　　　　　　　　　　　こっぱみじん　　　　　　　　　　　　　　,C  .  N  ,
ＣＯＰ　　　　　　　　　　　　　　　　　こっぷ　　　　　　　　　　　　　　　　　,N 1.     ,気候変動に関する会議,締約国会議
固定価格買い取り制度　　　　　　　　　　こていかかくかいとりせいど　　　　　　　,N 1.     ,
孤独死する　　　　　　　　　　　　　　　こどくしする　　　　　　　　　　　　　　,D 4.  N  ,D
こども家庭庁　　　　　　　　　　　　　　こどもかていちょう　　　　　　　　　　　,N 5.     ,
コネクテッド　　　　　　　　　　　　　　こねくてっど　　　　　　　　　　　　　　,N 1.     ,
コネクテッドカー　　　　　　　　　　　　こねくてっどかー　　　　　　　　　　　　,N 1.     ,常時ネット接続
ＣＯＶＩＤ　　　　　　　　　　　　　　　こびっど　　　　　　　　　　　　　　　　,N 1.     ,コロナウイルス感染症
コピペする　　　　　　　　　　　　　　　こぴぺする　　　　　　　　　　　　　　　,D 4.     ,
コミット　　　　　　　　　　　　　　　　こみっと　　　　　　　　　　　　　　　　,N 1.     ,コミットメント約束
コラーゲン　　　　　　　　　　　　　　　こらーげん　　　　　　　　　　　　　　　,N B.     ,ｃｏｌｌａｇｅｎ
コラージュ　　　　　　　　　　　　　　　こらーじゅ　　　　　　　　　　　　　　　,N 1.     ,絵画の技法  糊付け
コラボ　　　　　　　　　　　　　　　　　こらぼ　　　　　　　　　　　　　　　　　,N 1.     ,コラボレーション
コリアンダー　　　　　　　　　　　　　　こりあんだー　　　　　　　　　　　　　　,N B.     ,ハーブ
コリオリ　　　　　　　　　　　　　　　　こりおり　　　　　　　　　　　　　　　　,N 1.     ,Ｃｏｒｉｏｌｉの力
コリオリ力　　　　　　　　　　　　　　　こりおりりょく　　　　　　　　　　　　　,N 1.     ,地球自転
コリジョン　　　　　　　　　　　　　　　こりじょん　　　　　　　　　　　　　　　,N 1.     ,collision,衝突
孤立語　　　　　　　　　　　　　　　　　こりつご　　　　　　　　　　　　　　　　,N 1.     ,isolating language
五輪・パラ　　　　　　　　　　　　　　　ごりんぱら　　　　　　　　　　　　　　　,N 1.     ,
コルチゾール　　　　　　　　　　　　　　こるちぞーる　　　　　　　　　　　　　　,N 1.     ,Ｃｏｒｔｉｓｏｌ,副腎皮質から分泌されるホルモン
これっぱかり　　　　　　　　　　　　　　これっぱかり　　　　　　　　　　　　　　,C  .  N  ,
コロケーション　　　　　　　　　　　　　ころけーしょん　　　　　　　　　　　　　,N 1.     ,共起
コロナ禍　　　　　　　　　　　　　　　　ころなか　　　　　　　　　　　　　　　　,N 1.  N  ,
コロナスリップ　　　　　　　　　　　　　ころなすりっぷ　　　　　　　　　　　　　,N 1.  N  ,
コロナ太り　　　　　　　　　　　　　　　ころなぶとり　　　　　　　　　　　　　　,N 1.  N  ,
婚活　　　　　　　　　　　　　　　　　　こんかつ　　　　　　　　　　　　　　　　,N 1.     ,
コンカフェ　　　　　　　　　　　　　　　こんかふぇ　　　　　　　　　　　　　　　,N 5.     ,コンセプトカフェ
コンクラーベ　　　　　　　　　　　　　　こんくらーべ　　　　　　　　　　　　　　,N 1.     ,
コンサル　　　　　　　　　　　　　　　　こんさる　　　　　　　　　　　　　　　　,N 1.     ,
コンシーラー　　　　　　　　　　　　　　こんしーらー　　　　　　　　　　　　　　,N 1.     ,秘密
コンシェルジュ　　　　　　　　　　　　　こんしぇるじゅ　　　　　　　　　　　　　,N 4.     ,ホテルの総合世話係
コンシャス　　　　　　　　　　　　　　　こんしゃす　　　　　　　　　　　　　　　,N 1.  P  ,意識的な
今生最後　　　　　　　　　　　　　　　　こんじょうさいご　　　　　　　　　　　　,N 8.     ,
ごんずいだま　　　　　　　　　　　　　　ごんずいだま　　　　　　　　　　　　　　,N B.     ,
コンセッション　　　　　　　　　　　　　こんせっしょん　　　　　　　　　　　　　,N 1.     ,公共施設等運営
コンセプト　　　　　　　　　　　　　　　こんせぷと　　　　　　　　　　　　　　　,N 1.     ,概念
コンセプトカー　　　　　　　　　　　　　こんせぷとかー　　　　　　　　　　　　　,N B.     ,展示目的の自動車
コンセンサス　　　　　　　　　　　　　　こんせんさす　　　　　　　　　　　　　　,N 1.     ,合意
昆虫工場　　　　　　　　　　　　　　　　こんちゅうこうじょう　　　　　　　　　　,N 1.     ,
昆虫食　　　　　　　　　　　　　　　　　こんちゅうしょく　　　　　　　　　　　　,N B.     ,Ｅｎｔｏｍｏｐｈａｇｙ
コンテンツ　　　　　　　　　　　　　　　こんてんつ　　　　　　　　　　　　　　　,N 1.     ,中身
コンテンポラリー　　　　　　　　　　　　こんてんぽらりー　　　　　　　　　　　　,N 1.     ,同時代の
こんにちは　　　　　　　　　　　　　　　こんにちわ　　　　　　　　　　　　　　　,A  .     ,
コンパイラー　　　　　　　　　　　　　　こんぱいらー　　　　　　　　　　　　　　,N 1.     ,ｃｏｍｐｉｌｅｒ
コンパレーター　　　　　　　　　　　　　こんぱれーたー　　　　　　　　　　　　　,N 1.     ,端子間の電位差を比較することで出力値を決定
こんばんは　　　　　　　　　　　　　　　こんばんわ　　　　　　　　　　　　　　　,A  .     ,
コンピューターリテラシー　　　　　　　　こんぴゅーたーりてらしー　　　　　　　　,N 1.     ,ｃｏｍｐｕｔｅｒ　ｌｉｔｅｒａｃｙ
コンフィ　　　　　　　　　　　　　　　　こんふぃ　　　　　　　　　　　　　　　　,N B.     ,料理
コンフィデンシャル　　　　　　　　　　　こんふぃでんしゃる　　　　　　　　　　　,N 1.     ,秘密の
コンプライアンス　　　　　　　　　　　　こんぷらいあんす　　　　　　　　　　　　,N 1.     ,社会的倫理を守ること
サーチャージ　　　　　　　　　　　　　　さーちゃーじ　　　　　　　　　　　　　　,N 1.  N  ,付加される諸料金
サード　　　　　　　　　　　　　　　　　さーど　　　　　　　　　　　　　　　　　,N 1.     ,ＴＨＡＡＤ終末高高度防衛ミサイル
サイアロン　　　　　　　　　　　　　　　さいあろん　　　　　　　　　　　　　　　,N B.     ,セラミックス 
再帰性反射材　　　　　　　　　　　　　　さいきせいはんしゃざい　　　　　　　　　,N 1.     ,光源に向かってそのまま反射する
最高値　　　　　　　　　　　　　　　　　さいこうち　　　　　　　　　　　　　　　,N 1.  P  ,
サイコパス　　　　　　　　　　　　　　　さいこぱす　　　　　　　　　　　　　　　,N 4.  N  ,精神病質者
再生医療　　　　　　　　　　　　　　　　さいせいいりょう　　　　　　　　　　　　,N 1.     ,ｒｅｇｅｎｅｒａｔｉｖｅ　ｍｅｄｉｃｉｎｅ
再生エネルギー　　　　　　　　　　　　　さいせいえねるぎー　　　　　　　　　　　,N 1.     ,
最善策　　　　　　　　　　　　　　　　　さいぜんさく　　　　　　　　　　　　　　,N 1.  P  ,
最高値　　　　　　　　　　　　　　　　　さいたかね　　　　　　　　　　　　　　　,N 1.  P  ,
サイトカイン　　　　　　　　　　　　　　さいとかいん　　　　　　　　　　　　　　,N B.     ,ｃｙｔｏｋｉｎｅ生理活性蛋白質とも呼ばれ、細胞間相互作用に関与し周囲の細胞に影響を与える
サイネージ　　　　　　　　　　　　　　　さいねーじ　　　　　　　　　　　　　　　,N 1.     ,液晶ディスプレイの看板
サイバー　　　　　　　　　　　　　　　　さいばー　　　　　　　　　　　　　　　　,N 1.     ,ネットワークに関する
サイバー攻撃　　　　　　　　　　　　　　さいばーこうげき　　　　　　　　　　　　,N 1.     ,ｃｙｂｅｒ　ａｔｔａｃｋ
サイバーセキュリティー　　　　　　　　　さいばーせきゅりてぃー　　　　　　　　　,N 1.     ,ｃｙｂｅｒ　ｓｅｃｕｒｉｔｙ
サイバーテロ　　　　　　　　　　　　　　さいばーてろ　　　　　　　　　　　　　　,N 1.     ,ｃｙｂｅｒ－ｔｅｒｒｏｒｉｓｍ
細胞外マトリックス　　　　　　　　　　　さいぼうがいまとりっくす　　　　　　　　,N B.     ,ＥＣＭ；　Ｅｘｔｒａｃｅｌｌｕｌａｒ　ｍａｔｒｉｘ
細胞内共生　　　　　　　　　　　　　　　さいぼうないきょうせい　　　　　　　　　,N 1.     ,
細胞農業　　　　　　　　　　　　　　　　さいぼうのうぎょう　　　　　　　　　　　,N 1.     ,Ｃｅｌｌｕｌａｒ　Ａｇｒｉｃｕｌｔｕｒｅ
細胞分化　　　　　　　　　　　　　　　　さいぼうぶんか　　　　　　　　　　　　　,N 1.     ,ｃｅｌｌｕｌａｒ　ｄｉｆｆｅｒｅｎｔｉａｔｉｏｎ
サイリウム　　　　　　　　　　　　　　　さいりうむ　　　　　　　　　　　　　　　,N 1.     ,ダイエットや健康的な食品
サイレントマジョリティー　　　　　　　　さいれんとまじょりてぃー　　　　　　　　,N 1.     ,ｓｉｌｅｎｔ　ｍａｊｏｒｉｔｙ物言わぬ大衆
ＳＡＣＬＡ　　　　　　　　　　　　　　　さくら　　　　　　　　　　　　　　　　　,N B.     ,X線自由電子レーザー施設
ささみ　　　　　　　　　　　　　　　　　ささみ　　　　　　　　　　　　　　　　　,N B.     ,小胸筋の肉
指し値オペ　　　　　　　　　　　　　　　さしねおぺ　　　　　　　　　　　　　　　,N 1.     ,
刺身じょうゆ　　　　　　　　　　　　　　さしみじょうゆ　　　　　　　　　　　　　,N B.     ,
刺身包丁　　　　　　　　　　　　　　　　さしみぼうちょう　　　　　　　　　　　　,N B.     ,
サステイナビリティー　　　　　　　　　　さすていなびりてぃー　　　　　　　　　　,N 1.     ,
サステイナブル　　　　　　　　　　　　　さすていなぶる　　　　　　　　　　　　　,N 1.     ,持続可能な
サステナブル　　　　　　　　　　　　　　さすてなぶる　　　　　　　　　　　　　　,N 1.     ,持続可能
ザッピング　　　　　　　　　　　　　　　ざっぴんぐ　　　　　　　　　　　　　　　,N 1.     ,ｚａｐｐｉｎｇテレビを視聴している際にチャンネルをしきりに切り替える行為
雑味　　　　　　　　　　　　　　　　　　ざつみ　　　　　　　　　　　　　　　　　,N 1.     ,
サテライトオフィス　　　　　　　　　　　さてらいとおふぃす　　　　　　　　　　　,N 7.     ,本拠地以外のオフィス
里海　　　　　　　　　　　　　　　　　　さとうみ　　　　　　　　　　　　　　　　,N 7.     ,
サニタイザー　　　　　　　　　　　　　　さにたいざー　　　　　　　　　　　　　　,N 1.     ,安全なファイルの受け渡し
サバイバー　　　　　　　　　　　　　　　さばいばー　　　　　　　　　　　　　　　,N 4.     ,生存者
ＳＡＦ　　　　　　　　　　　　　　　　　さふ　　　　　　　　　　　　　　　　　　,N B.     ,再生可能な航空燃料
サブスク　　　　　　　　　　　　　　　　さぶすく　　　　　　　　　　　　　　　　,N 1.     ,サブスクリプション
ｓｕｂｓｃｒｉｂｅする　　　　　　　　　さぶすくらいぶする　　　　　　　　　　　,D 4.     ,署名する
サブスクリプション　　　　　　　　　　　さぶすくりぷしょん　　　　　　　　　　　,N 1.     ,定額サービス契約
サブスクリプト　　　　　　　　　　　　　さぶすくりぷと　　　　　　　　　　　　　,N 1.     ,定期購読、継続購入
サブプライム　　　　　　　　　　　　　　さぶぷらいむ　　　　　　　　　　　　　　,N 1.     ,ｓｕｂｐｒｉｍｅ住宅ローン
サブミリ波　　　　　　　　　　　　　　　さぶみりは　　　　　　　　　　　　　　　,N B.     ,
サプライズ　　　　　　　　　　　　　　　さぷらいず　　　　　　　　　　　　　　　,N 1.     ,
サプライチェーン　　　　　　　　　　　　さぷらいちぇーん　　　　　　　　　　　　,N 1.     ,供給過程
サムネイル　　　　　　　　　　　　　　　さむねいる　　　　　　　　　　　　　　　,N 1.     ,縮小表示
サランラップ　　　　　　　　　　　　　　さらんらっぷ　　　　　　　　　　　　　　,N B.     ,
サルコペニア　　　　　　　　　　　　　　さるこぺにあ　　　　　　　　　　　　　　,N 1.     ,ｓａｒｃｏｐｅｎｉａ高齢になるに伴い、筋肉の量が減少していく現象
残さ　　　　　　　　　　　　　　　　　　ざんさ　　　　　　　　　　　　　　　　　,N 1.     ,
山体崩壊　　　　　　　　　　　　　　　　さんたいほうかい　　　　　　　　　　　　,N 1.     ,
三内丸山　　　　　　　　　　　　　　　　さんないまるやま　　　　　　　　　　　　,N 7.     ,
サンバイザー　　　　　　　　　　　　　　さんばいざー　　　　　　　　　　　　　　,N B.     ,
サンプルリターン　　　　　　　　　　　　さんぷるりたーん　　　　　　　　　　　　,N 1.     ,
三昧　　　　　　　　　　　　　　　　　　ざんまい　　　　　　　　　　　　　　　　,C  .  P  ,接尾辞
３密　　　　　　　　　　　　　　　　　　さんみつ　　　　　　　　　　　　　　　　,N 1.     ,「密接」「密集」「密閉」
シアノバクテリア　　　　　　　　　　　　しあのばくてりあ　　　　　　　　　　　　,N B.     ,
ＣＲＰ　　　　　　　　　　　　　　　　　しーあーるぴー　　　　　　　　　　　　　,N 1.     ,Ｃ－ｒｅａｃｔｉｖｅ　ｐｒｏｔｅｉｎ
